step,ee_x_b,ee_y_b,ee_z_b,radius_m,min_joint_margin,pose_err_m,manipulability,gripper
299,0.4596,-0.0,1.1895,0.9234,0.0478,0.0603,0.014532,0.035
300,0.4697,-0.0,1.1866,0.9223,0.0481,0.0702,0.015115,0.035
301,0.4801,-0.0,1.1834,0.9211,0.0483,0.0805,0.015731,0.035
302,0.4908,-0.0,1.1799,0.9199,0.0483,0.0911,0.016379,0.035
303,0.5018,-0.0001,1.176,0.9184,0.0481,0.102,0.017063,0.035
304,0.5132,-0.0001,1.1718,0.9169,0.0478,0.1134,0.017787,0.035
305,0.525,-0.0001,1.1671,0.9152,0.0475,0.1253,0.018556,0.035
306,0.5374,-0.0001,1.1619,0.9133,0.047,0.1378,0.019377,0.035
307,0.5504,-0.0001,1.156,0.9111,0.0467,0.1511,0.020244,0.035
308,0.564,-0.0001,1.1495,0.9087,0.0468,0.1653,0.021142,0.035
309,0.5781,-0.0001,1.1424,0.9061,0.047,0.1802,0.022064,0.035
310,0.5925,-0.0001,1.1346,0.9033,0.0472,0.1957,0.02301,0.035
311,0.6072,-0.0001,1.1261,0.9001,0.0472,0.2117,0.023986,0.035
312,0.6222,-0.0001,1.1168,0.8967,0.0468,0.2283,0.025004,0.035
313,0.6375,-0.0001,1.1066,0.8929,0.0461,0.2457,0.026075,0.035
314,0.6535,-0.0001,1.0953,0.8886,0.0451,0.2641,0.027215,0.035
315,0.6702,-0.0001,1.0825,0.8838,0.0437,0.2838,0.028441,0.035
316,0.6879,-0.0001,1.0679,0.8782,0.0424,0.3052,0.029747,0.035
317,0.7067,-0.0001,1.0511,0.8718,0.0433,0.3286,0.031007,0.035
318,0.7257,-0.0001,1.0328,0.8648,0.0453,0.353,0.032188,0.035
319,0.7442,-0.0001,1.0134,0.8574,0.0473,0.3785,0.033302,0.035
320,0.7618,-0.0001,0.9931,0.8495,0.0489,0.404,0.034356,0.035
321,0.7783,-0.0001,0.9721,0.8413,0.0501,0.4292,0.035355,0.035
322,0.7938,-0.0001,0.9506,0.8328,0.0505,0.4541,0.036299,0.035
323,0.8082,-0.0,0.9286,0.824,0.0504,0.4787,0.037186,0.035
324,0.8215,-0.0,0.9061,0.8148,0.0504,0.5031,0.038014,0.035
325,0.8338,0.0,0.8831,0.8054,0.0504,0.5272,0.038777,0.035
326,0.845,0.0001,0.8596,0.7956,0.0505,0.5511,0.039473,0.035
327,0.8552,0.0001,0.8357,0.7856,0.0505,0.5748,0.040099,0.035
328,0.8644,0.0003,0.8114,0.7752,0.0505,0.5983,0.040652,0.035
329,0.8725,0.0004,0.7867,0.7645,0.0505,0.6216,0.041131,0.035
330,0.8795,0.0007,0.7617,0.7535,0.0505,0.6447,0.041535,0.035
331,0.8854,0.0012,0.7363,0.7422,0.0505,0.6675,0.041862,0.035
332,0.8902,0.0021,0.7108,0.7307,0.0505,0.6901,0.042114,0.035
333,0.8939,0.0036,0.685,0.7188,0.0505,0.7125,0.042288,0.035
334,0.8964,0.0063,0.6592,0.7068,0.0505,0.7345,0.042385,0.035
335,0.8978,0.0108,0.6335,0.6946,0.0505,0.7561,0.04241,0.035
336,0.8979,0.0184,0.6081,0.6823,0.0503,0.7771,0.042383,0.035
337,0.8966,0.0316,0.5833,0.6701,0.0493,0.7975,0.042322,0.035
338,0.8936,0.0515,0.5594,0.658,0.048,0.8171,0.042231,0.035
