radius_m,manipulability,ee_x,ee_y,ee_z
0.5984,0.031998,0.3214,-0.1384,0.8632
0.7362,0.09105,0.5517,-0.2477,0.927
0.8422,0.046924,0.8142,0.0894,0.9367
0.8893,0.099146,-0.0847,-0.6401,0.7752
0.9907,0.069459,0.0147,-0.2435,1.2
0.7501,0.10424,0.0877,0.5443,0.744
0.7493,0.13113,-0.2481,-0.4825,0.4785
1.0952,0.037747,0.177,0.5604,1.2092
0.6004,0.046035,0.349,-0.4531,0.6784
1.0455,0.041939,-0.3803,-0.3177,1.0145
0.7802,0.100005,-0.1076,-0.5055,0.7245
0.9314,0.11203,0.3753,0.3916,1.118
1.0155,0.073629,0.8949,0.4684,0.9481
0.5351,0.01693,0.3754,-0.0772,0.8045
1.0738,0.041381,-0.1996,-0.4605,1.1179
0.8068,0.080466,0.0028,-0.647,0.6744
0.4188,0.062169,0.6555,0.1571,0.4185
1.1149,0.045698,-0.1413,-0.1792,1.2911
0.1978,0.0662,0.2462,0.1748,0.22
0.6891,0.070348,-0.0563,0.0718,0.8671
0.2451,0.093802,0.2161,-0.1935,0.1424
0.6568,0.056635,0.3473,-0.6096,0.5362
0.9,0.02293,0.0295,0.0853,1.1347
0.6616,0.064501,0.05,0.4239,0.7176
0.1655,0.078706,0.3887,0.0353,0.1497
0.9507,0.041171,0.1548,0.2016,1.1968
0.9371,0.095618,-0.2116,0.2402,1.028
0.856,0.079299,0.8513,0.3801,0.8037
0.9863,0.078015,0.6206,0.3972,1.1191
0.766,0.086912,-0.1502,-0.6284,0.321
0.975,0.035403,0.3095,0.2729,1.2139
0.4365,0.003553,0.0892,0.3139,0.4918
0.8412,0.086349,0.5481,-0.6778,0.7206
0.3526,0.04197,0.1851,-0.2976,0.4463
0.4092,0.048822,-0.0238,0.1248,0.4989
0.6349,0.056273,0.5912,0.1805,0.8098
0.841,0.078763,0.4621,-0.4053,1.0019
0.6832,0.098424,0.8138,0.4344,0.3404
1.0232,0.103918,-0.0921,0.4159,1.127
0.9238,0.095772,0.0432,0.6792,0.8444
0.6834,0.083082,0.0515,-0.6203,0.4568
0.6215,0.077464,-0.0061,0.4543,0.5668
0.858,0.029403,0.477,0.1098,1.1104
1.1484,0.023038,0.2838,0.09,1.4243
0.8917,0.063182,0.7053,-0.1734,1.0545
1.1252,0.029906,-0.0199,-0.4374,1.2705
0.5658,0.04203,-0.0638,-0.2568,0.6384
0.5336,0.083394,0.0587,-0.4089,0.5389
0.7509,0.062763,0.8546,0.039,0.7795
0.7222,0.054853,0.0888,0.4857,0.7658
0.5394,0.099599,0.5936,-0.4415,0.3967
1.0386,0.017033,0.7757,-0.2948,1.155
0.598,0.065566,0.6666,-0.2245,0.6959
0.3886,0.115631,0.2084,-0.3236,0.0772
1.0566,0.064818,0.5315,-0.5663,1.1441
1.0057,0.083808,-0.0214,0.3073,1.1801
0.4818,0.036807,0.2107,-0.337,0.6151
1.0657,0.058433,-0.01,-0.4959,1.1715
0.3724,0.026406,0.0091,0.1434,0.4539
0.902,0.100798,0.2078,-0.6213,0.93
0.5057,0.043287,0.6744,0.0036,0.6242
0.9188,0.096665,0.1216,-0.4334,1.0711
0.8845,0.101118,0.3417,-0.7333,0.7779
0.8442,0.079289,0.3298,0.345,1.0486
